ECE Drive Cycle																																		
BPM																																		
Universal_Format																																		
Duty_Cycle_Definition=0																																		
Duty_Cycle_Input_Type=1																																		
Duty_Cycle_Drive_Type=0																																		
Duty_Cycle_DC_Bus_Voltage_Definition=0																																		
Duty_Cycle_Data=																																		
Period	Elapsed Time	Time	Points	Torque [Start]	Torque [End]	Current [Start]	Current [End]	Armature Copper DC	Armature Copper AC	Aux Armature Copper	Field Copper	Stator Back Iron	Stator Tooth	Magnet	Rotor Back Iron	Embedded Magnet Pole	Rotor Tooth	Stray Load Stator Iron	Stray Load Rotor Iron	Stray Load Armature Copper	Stray Load Field Copper	Friction Front Bearing	Friction Rear Bearing	Brush Friction	Brush Electrical	Windage	Windage Exterior Fan	Encoder	Speed [Start]	Speed [End]	Fault	Ambient Temp [End]	Altitude [End]	DC Bus Voltage
38	38	1	1	-39.44848485	-38.85882353	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7709.787879	7831.393939	0	0	0	0
39	39	1	1	-38.85882353	-38.290625	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7831.393939	7947.205882	0	0	0	0
40	40	1	1	-38.290625	-36.99705882	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7947.205882	8054.625	0	0	0	0
41	41	1	1	-36.99705882	-36.66666667	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8054.625	8160.764706	0	0	0	0
42	42	1	1	-36.66666667	-36.23333333	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8160.764706	8260.636364	0	0	0	0
43	43	1	1	-36.23333333	-35.04545455	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8260.636364	8357.060606	0	0	0	0
44	44	1	1	-35.04545455	-34.77878788	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8357.060606	8447.090909	0	0	0	0
45	45	1	1	-34.77878788	-34.42727273	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8447.090909	8536.333333	0	0	0	0
46	46	1	1	-34.42727273	-33.31470588	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8536.333333	8618.787879	0	0	0	0
47	47	1	1	-33.31470588	-33.13939394	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8618.787879	8697.882353	0	0	0	0
48	48	1	1	-33.13939394	-32.86875	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8697.882353	8772.787879	0	0	0	0
49	49	1	1	-32.86875	-31.846875	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8772.787879	8846	0	0	0	0
50	50	1	1	-31.846875	-31.73823529	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8846	8914.71875	0	0	0	0
51	51	1	1	-31.73823529	-31.52121212	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8914.71875	8979.352941	0	0	0	0
52	52	1	1	-31.52121212	-30.546875	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8979.352941	9042.575758	0	0	0	0
53	53	1	1	-30.546875	-30.50606061	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9042.575758	9102.96875	0	0	0	0
54	54	1	1	-30.50606061	-30.34375	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9102.96875	9159.545455	0	0	0	0
55	55	1	1	-30.34375	-29.41818182	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9159.545455	9214.09375	0	0	0	0
56	56	1	1	-29.41818182	-29.42727273	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9214.09375	9264.636364	0	0	0	0
57	57	1	1	-29.42727273	-29.33529412	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9264.636364	9314.060606	0	0	0	0
58	58	1	1	-29.33529412	-28.46969697	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9314.060606	9362.029412	0	0	0	0
59	59	1	1	-28.46969697	-28.50909091	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9362.029412	9406.090909	0	0	0	0
60	60	1	1	-28.50909091	-28.53939394	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9406.090909	9447.606061	0	0	0	0
61	61	1	1	-28.53939394	-27.89393939	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9447.606061	9488.848485	0	0	0	0
